case_id,docket_no,title,state,date,type,pending,opinion_link
23-1218_Iowa_2025/06/20,23-1218,State v. Scullark,Iowa,"June 20, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Scullark%2C%20Iowa%2023-1218.pdf
S-24-0225_Wyoming_2025/06/18,S-24-0225,Bain v. City of Cheyenne,Wyoming,"June 18, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Bain%20v.%20City%20of%20Cheyenne%2C%20Wyo.%20S-24-0225.pdf
A-6-2024_New-Jersey_2025/06/17,A-6-2024,Kratovil v. City of New Brunswick,New Jersey,"June 17, 2025",Speech and Religion,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Kratovil%20v.%20City%20of%20New%20Brunswick%2C%20N.J.%20A-6-2024.pdf
SC2025-0794_Florida_2025/06/17,SC2025-0794,Gudinas v. State,Florida,"June 17, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Gudinas%20v.%20State%2C%20Fla.%20SC2025-0794.pdf
16-MAP-2023_Pennsylvania_2025/06/17,16 MAP 2023,Commonwealth v. Hunte,Pennsylvania,"June 17, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Commonwealth%20v.%20Hunte%2C%20Pa.%2016%20MAP%202023.pdf
DA-23-0229_Montana_2025/06/17,DA 23-0229,State v. Herzog,Montana,"June 17, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Herzog%2C%20Mont.%20DA%2023-0229.pdf
52636-2025_Idaho_2025/06/16,52636-2025,Idahoans United for Women & Families v. Labrador,Idaho,"June 16, 2025",Reproductive Rights,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Idahoans%20United%20for%20Women%20%26%20Families%20v.%20Labrador%2C%20Idaho%2052636-2025.pdf
A-15-24_New-Jersey_2025/06/16,A-15-24,In re Concerning The State Grand Jury,New Jersey,"June 16, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/In%20re%20Concerning%20The%20State%20Grand%20Jury%2C%20N.J.%20A-15-24.pdf
W2022-00210-SC-R11-CD_Tennessee_2025/06/16,W2022-00210-SC-R11-CD,State v. Payne,Tennessee,"June 16, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Payne%2C%20Tenn.%20W2022-00210-SC-R11-CD.pdf
SCWC-17-0000806_Hawaii_2025/06/13,SCWC-17-0000806,Winn v. Brady,Hawaii,"June 13, 2025",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Winn%20v.%20Brady%2C%20Haw.%20SCWC-17-0000806.pdf
S-24-422_Nebraska_2025/06/13,S-24-422,State v. Scott,Nebraska,"June 13, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Scott%2C%20Neb.%20S-24-422.pdf
