FIPS State and County Codes,Geographic area name,RAE Report Links
05101,"Newton County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05101&geoType=county&view=report&reportType=detailed
05103,"Ouachita County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05103&geoType=county&view=report&reportType=detailed
05105,"Perry County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05105&geoType=county&view=report&reportType=detailed
05107,"Phillips County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05107&geoType=county&view=report&reportType=detailed
05109,"Pike County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05109&geoType=county&view=report&reportType=detailed
05111,"Poinsett County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05111&geoType=county&view=report&reportType=detailed
05113,"Polk County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05113&geoType=county&view=report&reportType=detailed
05115,"Pope County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05115&geoType=county&view=report&reportType=detailed
05117,"Prairie County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05117&geoType=county&view=report&reportType=detailed
05119,"Pulaski County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05119&geoType=county&view=report&reportType=detailed
05121,"Randolph County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05121&geoType=county&view=report&reportType=detailed
05123,"St. Francis County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05123&geoType=county&view=report&reportType=detailed
05125,"Saline County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05125&geoType=county&view=report&reportType=detailed
05127,"Scott County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05127&geoType=county&view=report&reportType=detailed
05129,"Searcy County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05129&geoType=county&view=report&reportType=detailed
05131,"Sebastian County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05131&geoType=county&view=report&reportType=detailed
05133,"Sevier County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05133&geoType=county&view=report&reportType=detailed
05135,"Sharp County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05135&geoType=county&view=report&reportType=detailed
05137,"Stone County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05137&geoType=county&view=report&reportType=detailed
05139,"Union County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05139&geoType=county&view=report&reportType=detailed
05141,"Van Buren County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05141&geoType=county&view=report&reportType=detailed
05143,"Washington County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05143&geoType=county&view=report&reportType=detailed
05145,"White County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05145&geoType=county&view=report&reportType=detailed
05147,"Woodruff County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05147&geoType=county&view=report&reportType=detailed
05149,"Yell County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05149&geoType=county&view=report&reportType=detailed
06,California,https://cbb.census.gov/rae/#industry0=00&geoId=06&geoType=state&view=report&reportType=detailed
06001,"Alameda County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06001&geoType=county&view=report&reportType=detailed
06003,"Alpine County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06003&geoType=county&view=report&reportType=detailed
06005,"Amador County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06005&geoType=county&view=report&reportType=detailed
06007,"Butte County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06007&geoType=county&view=report&reportType=detailed
06009,"Calaveras County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06009&geoType=county&view=report&reportType=detailed
06011,"Colusa County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06011&geoType=county&view=report&reportType=detailed
06013,"Contra Costa County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06013&geoType=county&view=report&reportType=detailed
06015,"Del Norte County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06015&geoType=county&view=report&reportType=detailed
06017,"El Dorado County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06017&geoType=county&view=report&reportType=detailed
06019,"Fresno County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06019&geoType=county&view=report&reportType=detailed
06021,"Glenn County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06021&geoType=county&view=report&reportType=detailed
06023,"Humboldt County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06023&geoType=county&view=report&reportType=detailed
06025,"Imperial County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06025&geoType=county&view=report&reportType=detailed
06027,"Inyo County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06027&geoType=county&view=report&reportType=detailed
06029,"Kern County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06029&geoType=county&view=report&reportType=detailed
06031,"Kings County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06031&geoType=county&view=report&reportType=detailed
06033,"Lake County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06033&geoType=county&view=report&reportType=detailed
06035,"Lassen County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06035&geoType=county&view=report&reportType=detailed
06037,"Los Angeles County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06037&geoType=county&view=report&reportType=detailed
06039,"Madera County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06039&geoType=county&view=report&reportType=detailed
06041,"Marin County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06041&geoType=county&view=report&reportType=detailed
06043,"Mariposa County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06043&geoType=county&view=report&reportType=detailed
06045,"Mendocino County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06045&geoType=county&view=report&reportType=detailed
06047,"Merced County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06047&geoType=county&view=report&reportType=detailed
06049,"Modoc County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06049&geoType=county&view=report&reportType=detailed
06051,"Mono County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06051&geoType=county&view=report&reportType=detailed
06053,"Monterey County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06053&geoType=county&view=report&reportType=detailed
06055,"Napa County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06055&geoType=county&view=report&reportType=detailed
06057,"Nevada County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06057&geoType=county&view=report&reportType=detailed
06059,"Orange County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06059&geoType=county&view=report&reportType=detailed
06061,"Placer County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06061&geoType=county&view=report&reportType=detailed
06063,"Plumas County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06063&geoType=county&view=report&reportType=detailed
06065,"Riverside County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06065&geoType=county&view=report&reportType=detailed
06067,"Sacramento County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06067&geoType=county&view=report&reportType=detailed
06069,"San Benito County, California",https://cbb.census.gov/rae/#industry0=00&geoId=06069&geoType=county&view=report&reportType=detailed
